tablescraper-selected-row href,css-6ubqba,css-1oq4rdn,css-1hqv54u,css-1hqv54u 2,css-1hqv54u 3
https://secrethunter.io/jobs/gaming-sales-director-at-rtb-house-4032045424,Gaming sales director,RTB House,Israel,6 days,Score: 65
https://secrethunter.io/jobs/senior-gaming-account-manager-at-rtb-house-4050585936,(senior) gaming account manager,RTB House,Israel,5 days,Score: 65
https://secrethunter.io/jobs/backend-developer-for-gaming-startup-equity-based-at-nortek-gaming-4084454110,Backend developer for gaming startup (equity based),Nortek Gaming,Tel Aviv,4 days,Score: 63
https://secrethunter.io/jobs/english-into-thai-mt-post-editors-reviewers-gaming-at-keywords-studios-4089332558,English into thAI mt post-editors & reviewers-gaming,Keywords Studios,Israel,22 hours,Score: 63
https://secrethunter.io/jobs/3d-tech-artist-423-at-beach-bum-4082822921,3d tech artist 423,Beach Bum,Raanana,1 week,Score: 62
https://secrethunter.io/jobs/net-developer-at-aristocrat-interactive-4036969407,.net developer,Aristocrat Interactive,Tel Aviv,1 week,Score: 61
https://secrethunter.io/jobs/php-developer-433-at-beach-bum-4087386763,Php developer - 433,Beach Bum,Raanana,19 hours,Score: 60
https://secrethunter.io/jobs/growth-acquisition-lead-at-voodoo-4087393804,Growth acquisition lead,Voodoo,Raanana,17 hours,Score: 60
https://secrethunter.io/jobs/business-development-manager-slot-games-at-aristocrat-interactive-4086891529,Business development manager - slot games,Aristocrat Interactive,Tel Aviv,22 hours,Score: 59
https://secrethunter.io/jobs/pmo-at-aristocrat-interactive-4086258846,Pmo,Aristocrat Interactive,Tel Aviv,4 days,Score: 59
https://secrethunter.io/jobs/performance-manager-monopoly-go%21-at-scopely-4084250650,Performance manager - monopoly go!,Scopely,Tel Aviv,6 days,Score: 59
https://secrethunter.io/jobs/E2.E40,Sre/devops engineer,Ludeo,Tel Aviv,2 days,Score: 59
https://secrethunter.io/jobs/software-engineer-networking-at-nvidia-4071891995,Software engineer - networking,NVIDIA,Yokeam Illit,4 days,Score: 58
https://secrethunter.io/jobs/product-designer-at-confidential-4082850690,Product designer,Confidential,Ramat Gan,1 week,Score: 57
https://secrethunter.io/jobs/FA.D4A,Game economy manager,Playstudios,Tel Aviv,2 weeks,Score: 57
https://secrethunter.io/jobs/Playtika-4470264101,Games R&D-monetization operations specialist,Playtika,Herzliya,2 weeks,Score: 57
https://secrethunter.io/jobs/senior-product-manager-monopoly-go%21-at-scopely-4084613661,Senior product manager - monopoly go!,Scopely,Tel Aviv,6 days,Score: 56
https://secrethunter.io/jobs/english-into-hebrew-mt-post-editors-reviewers-gaming-at-keywords-studios-4079093385,English into hebrew mt post-editors & reviewers-gaming,Keywords Studios,Israel,3 weeks,Score: 56
https://secrethunter.io/jobs/account-manager-at-jobshop-4083341732,Account manager,JobShop,Tel Aviv,1 week,Score: 56
https://secrethunter.io/jobs/FF.D4E,Tertris- product manager,Playstudios,Tel Aviv,1 week,Score: 56
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
