"tablescraper-selected-row href","css-6ubqba","css-1oq4rdn","css-1hqv54u","css-1hqv54u 2","css-1hqv54u 3"
"https://secrethunter.io/jobs/python-engineer-at-ping-identity-4072838531","Python engineer","Ping Identity","Israel","2 days","Score: 75"
"https://secrethunter.io/jobs/42.E43","Senior software engineer (python, backend)","Trax Retail","Tel Aviv","11 hours","Score: 71"
"https://secrethunter.io/jobs/2452-python-developer-at-shabak-israeli-security-agency-career-4086408505","2452 - python developer","Shabak - Israeli Security Agency - Career","Tel Aviv","6 days","Score: 70"
"https://secrethunter.io/jobs/full-stack-developer-python-at-millennium-3997528802","Full stack developer (python)","Millennium","Tel Aviv","5 days","Score: 70"
"https://secrethunter.io/jobs/ai-python-software-engineer-at-tricentis-4083264750","AI python software engineer","Tricentis","Israel","1 week","Score: 70"
"https://secrethunter.io/jobs/B8.C40-3B.402","Real-time c++ and python software engineer","Neureality AI","Tel Aviv","6 days","Score: 70"
"https://secrethunter.io/jobs/data-science-python-developer-at-pianoid-4079760537","Data science/python developer","Pianoid","Tel Aviv","2 weeks","Score: 69"
"https://secrethunter.io/jobs/python-developer-at-cyngular-security-3915429317","Python developer","Cyngular Security","Tel Aviv","2 weeks","Score: 68"
"https://secrethunter.io/jobs/c%2B%2B-python-integration-engineer-at-mobileye-4082857474","C++/python integration engineer","Mobileye","Jerusalem","1 week","Score: 67"
"https://secrethunter.io/jobs/python-c%2B%2B-software-engineer-at-applied-materials-4077557662","Python/c++ software engineer","Applied Materials","Rehovot","3 weeks","Score: 66"
"https://secrethunter.io/jobs/python-developer-at-modelyo-4049869886","Python developer","Modelyo","Tel Aviv","3 weeks","Score: 66"
"https://secrethunter.io/jobs/senior-sonic-python-engineer-at-nvidia-3990964797","Senior sonic python engineer","NVIDIA","Raanana","3 weeks","Score: 66"
"https://secrethunter.io/jobs/python-developer-at-newphotonics-4076332275","Python developer","NewPhotonics","Petah Tikva","3 weeks","Score: 66"
"https://secrethunter.io/jobs/c%2B%2B-python-software-engineer-at-applied-materials-4077558576","C++/ python software engineer","Applied Materials","Rehovot","3 weeks","Score: 66"
"https://secrethunter.io/jobs/sr-backend-python-engineer-ai-team-at-kubiya-ai-4082697321","Sr. backend python engineer (AI team)","Kubiya.ai","Ramat Gan","2 weeks","Score: 65"
"https://secrethunter.io/jobs/quantitative-developer-python-at-millennium-4043032311","Quantitative developer - python","Millennium","Tel Aviv","2 weeks","Score: 65"
