"tablescraper-selected-row href","css-6ubqba","css-1oq4rdn","css-1hqv54u","css-1hqv54u 2","css-1hqv54u 3"
"https://secrethunter.io/jobs/student-at-ferring-pharmaceuticals-3732488035","Student","Ferring Pharmaceuticals","Caesarea","2 weeks","Score: 104"
"https://secrethunter.io/jobs/full-stack-software-engineer-student-at-jungo-connectivity-ltd-4089182486","Full stack software engineer (student)","Jungo Connectivity Ltd","Netanya","22 hours","Score: 88"
"https://secrethunter.io/jobs/communications-analyst-arabic-language-student-internship-position-at-jerusalem-center-for-security-and-foreign-affairs-4086307472","Communications analyst (arabic language) - student internship position","Jerusalem Center for Security and Foreign Affairs","Jerusalem","2 days","Score: 87"
"https://secrethunter.io/jobs/student-operations-assistant-at-bravermanjewelry-4086309376","Student - operations assistant","Bravermanjewelry","Tel Aviv","2 days","Score: 87"
"https://secrethunter.io/jobs/student-engineering-at-vishay-intertechnology-inc-4087270817","Student engineering","Vishay Intertechnology, Inc.","Dimona","5 days","Score: 86"
"https://secrethunter.io/jobs/C2.E44","FP&A student position","Risecodes","Tel Aviv","2 days","Score: 86"
"https://secrethunter.io/jobs/research-assistant-for-antisemitism-studies-student-internship-position-at-jerusalem-center-for-security-and-foreign-affairs-4086309388","Research assistant for antisemitism studies - student internship position","Jerusalem Center for Security and Foreign Affairs","Jerusalem","2 days","Score: 85"
"https://secrethunter.io/jobs/social-media-assistant-student-internship-position-at-jerusalem-center-for-security-and-foreign-affairs-4086310127","Social media assistant - student internship position","Jerusalem Center for Security and Foreign Affairs","Jerusalem","2 days","Score: 85"
"https://secrethunter.io/jobs/system-engineering-student-position-at-elbit-systems-israel-4083701609","System engineering - student position","Elbit Systems Israel","Shaqibalsalam","1 week","Score: 85"
"https://secrethunter.io/jobs/communications-analyst-french-speaking-student-internship-position-at-jerusalem-center-for-security-and-foreign-affairs-4086308389","Communications analyst (french speaking) - student internship position","Jerusalem Center for Security and Foreign Affairs","Jerusalem","2 days","Score: 85"
"https://secrethunter.io/jobs/32.E40","Marketing student","Altair Semiconductor","Hod Hasharon","17 hours","Score: 85"
"https://secrethunter.io/jobs/marketing-student-at-sony-semicon-il-4089359707","Marketing student","Sony Semicon (IL)","Hod Hasharon","16 hours","Score: 85"
"https://secrethunter.io/jobs/electrical-engineering-student-at-air-4084439646","Electrical engineering student","AIR","Netanya","5 days","Score: 84"
"https://secrethunter.io/jobs/data-analyst-%E2%80%93-student-position-at-shabak-israeli-security-agency-career-4084131444","Data analyst – student position","Shabak - Israeli Security Agency - Career","Center","6 days","Score: 84"
"https://secrethunter.io/jobs/2-3-days-a-week-part-time-student-afternoon-evening-for-paint-room-manufacturing-at-wall-smart-4086414977","2-3 days a week part time student afternoon/evening for paint room - manufacturing","WALL-SMART","Petah Tikva","6 days","Score: 84"
"https://secrethunter.io/jobs/data-communication-student-position-at-elbit-systems-israel-4084419168","Data communication - student position","Elbit Systems Israel","Rehovot","5 days","Score: 84"
"https://secrethunter.io/jobs/physics-student-at-applied-materials-israel-4085961703","Physics student","Applied Materials - Israel","Rehovot","5 days","Score: 83"
"https://secrethunter.io/jobs/business-process-engineering-intern-at-hewlett-packard-enterprise-4083450677","Business process engineering intern","Hewlett Packard Enterprise","South","1 week","Score: 83"
"https://secrethunter.io/jobs/assistant-controller-%E2%80%93-student-position-at-volco-4084461003","Assistant controller – student position","VOLCO","Tel Aviv","5 days","Score: 83"
"https://secrethunter.io/jobs/student-it-at-vishay-intertechnology-inc-4080996773","Student IT","Vishay Intertechnology, Inc.","Dimona","2 weeks","Score: 83"
"https://secrethunter.io/jobs/2F.D47","Lab & data collection student","Samsung","Tel Aviv","2 weeks","Score: 83"
"https://secrethunter.io/jobs/chip-architect-student-at-nvidia-4051915555","Chip architect student","NVIDIA","Yokeam Illit","5 days","Score: 82"
"https://secrethunter.io/jobs/babysitting-bilingue-temps-partiel-h-f-at-kangourou-kids-4084712562","Babysitting bilingue - temps partiel (h/f) -","Kangourou Kids","Ashdod","5 days","Score: 82"
"https://secrethunter.io/jobs/human-resources-intern-at-mks-instruments-4083359730","Human resources intern","MKS Instruments","Rehovot","1 week","Score: 82"
"https://secrethunter.io/jobs/Playtika-4471960101","Legal assistant (student position)","Playtika","Herzliya","2 weeks","Score: 81"
"https://secrethunter.io/jobs/physics-student-at-kla-4061611681","Physics student","KLA","Center","2 weeks","Score: 81"
"https://secrethunter.io/jobs/private-tutors-ui-ux-video-production-software-development-at-justsocial-4083020846","Private tutors - UI/UX, video production, software development.","JustSocial","Israel","2 weeks","Score: 81"
"https://secrethunter.io/jobs/1601375-financial-analyst-student-position-at-applied-materials-4055115171","1601375 - financial analyst - student position","Applied Materials","Rehovot","3 weeks","Score: 81"
"https://secrethunter.io/jobs/environmental-engineer-student-at-unilever-4082271412","Environmental engineer- student","Unilever","North","2 weeks","Score: 81"
"https://secrethunter.io/jobs/CB.D44","Treasury operation analyst- student position","Global-e","Petah Tikva","2 weeks","Score: 81"
"https://secrethunter.io/jobs/E4.F1B","IT technician student/ graduate","REE","Herzliya","2 weeks","Score: 81"
"https://secrethunter.io/jobs/business-analyst-student-at-ergo-consulting-group-4080796097","Business analyst - student","Ergo Consulting Group","Tel Aviv","2 weeks","Score: 81"
"https://secrethunter.io/jobs/qualified-teaching-tutor-at-class-a-%D7%94%D7%95%D7%A8%D7%90%D7%94-%D7%A4%D7%A8%D7%98%D7%99%D7%AA-%D7%9E%D7%A7%D7%A6%D7%95%D7%A2%D7%99%D7%AA-4082469703","Qualified teaching tutor","Class-A הוראה פרטית מקצועית","Israel","2 weeks","Score: 80"
"https://secrethunter.io/jobs/junior-sales-and-business-operations-student-at-ballerine-4082252661","Junior sales and business operations (student)","Ballerine","Israel","2 weeks","Score: 80"
"https://secrethunter.io/jobs/marketing-student-recruitment-for-the-international-ll-m-program-at-tel-aviv-university-the-buchmann-faculty-of-law-4078827739","Marketing & student recruitment for the international ll.m. program","Tel Aviv University - The Buchmann Faculty of Law","Tel Aviv","2 weeks","Score: 80"
"https://secrethunter.io/jobs/data-analyst-student-at-landa-digital-printing-4081886730","Data analyst student","Landa Digital Printing","Rehovot","2 weeks","Score: 80"
"https://secrethunter.io/jobs/physics-student-at-applied-materials-4079777445","Physics student","Applied Materials","Rehovot","2 weeks","Score: 80"
"https://secrethunter.io/jobs/it-technician-student-graduate-at-ree-automotive-4079614431","IT technician student/ graduate","REE Automotive","Herzliya","2 weeks","Score: 80"
"https://secrethunter.io/jobs/junior-campaign-manager-at-no-any-company-4083001880","Junior campaign manager","No Any Company","Tel Aviv","2 weeks","Score: 80"
"https://secrethunter.io/jobs/application-engineer-student-at-applied-materials-4055116104","Application engineer student","Applied Materials","Rehovot","3 weeks","Score: 79"
"https://secrethunter.io/jobs/algorithms-development-student-at-applied-materials-4055108897","Algorithms development student","Applied Materials","Rehovot","3 weeks","Score: 79"
"https://secrethunter.io/jobs/financials-and-market-research-student-at-weccelerate-ltd-4081777070","Financials and market research student","WeCcelerate Ltd.","Tel Aviv","2 weeks","Score: 79"
"https://secrethunter.io/jobs/supply-chain-account-manager-student-at-philips-4082462954","Supply chain account manager student","Philips","Haifa","2 weeks","Score: 79"
"https://secrethunter.io/jobs/86.148","Manual QA student","BrandShield","Herzliya","3 weeks","Score: 78"
"https://secrethunter.io/jobs/student-researcher-2025-at-google-4075297558","Student researcher, 2025","Google","Tel Aviv","3 weeks","Score: 78"
"https://secrethunter.io/jobs/tenableisrael-4343626008","Recruiting coordinator- part time/ student position","Tenable","Israel - Office - CS","1 month","Score: 78"
"https://secrethunter.io/jobs/B1.D4F","Algorithm student","Samsung","Tel Aviv","1 month","Score: 78"
"https://secrethunter.io/jobs/qa-engineer-student-position-at-ourcrowd-4076616164","QA engineer - student position","OurCrowd","Jerusalem","3 weeks","Score: 77"
"https://secrethunter.io/jobs/chemichal-process-engineering-student-at-stratasys-4068338077","Chemichal process engineering-student","Stratasys","Kiryatgat","1 month","Score: 76"
"https://secrethunter.io/jobs/%D7%A1%D7%98%D7%95%D7%93%D7%A0%D7%98-%D7%99%D7%AA-%D7%9C%D7%A0%D7%99%D7%94%D7%95%D7%9C-%D7%A4%D7%99%D7%A0%D7%A0%D7%A1%D7%99-at-elbit-systems-israel-4066385312","סטודנט.ית לניהול פיננסי","Elbit Systems Israel","Modiin","3 weeks","Score: 76"
"https://secrethunter.io/jobs/solution-engineer-student-at-wint-water-intelligence-4076513854","Solution engineer-student","WINT Water Intelligence","Rosh Ha'ayin","3 weeks","Score: 76"
"https://secrethunter.io/jobs/%D7%A1%D7%98%D7%95%D7%93%D7%A0%D7%98-%D7%99%D7%AA-%D7%A4%D7%9C%D7%A0%D7%A8-%D7%99%D7%AA-%D7%9C%D7%9E%D7%97%D7%9C%D7%A7%D7%AA-%D7%AA%D7%9B%D7%A0%D7%95%D7%9F-%D7%97%D7%95%D7%9E%D7%A8-at-elbit-systems-israel-4071702740","סטודנט.ית פלנר.ית למחלקת תכנון חומר","Elbit Systems Israel","Rehovot","3 weeks","Score: 75"
"https://secrethunter.io/jobs/BC.24D","Data analyst intern german native (student-part time)","Tastewise","Tel Aviv","1 month","Score: 75"
"https://secrethunter.io/jobs/%D7%A1%D7%98%D7%95%D7%93%D7%A0%D7%98-%D7%99%D7%AA-%D7%9C%D7%A7%D7%91%D7%95%D7%A6%D7%AA-%D7%A4%D7%99%D7%AA%D7%95%D7%97-%D7%9E%D7%91%D7%93%D7%A7%D7%99%D7%9D-%D7%90%D7%95%D7%98%D7%95%D7%9E%D7%98%D7%99%D7%99%D7%9D-at-elbit-systems-israel-4013119030","סטודנט.ית לקבוצת פיתוח מבדקים אוטומטיים","Elbit Systems Israel","Holon","3 weeks","Score: 75"
"https://secrethunter.io/jobs/F0.D4F","Junior vidops engineer (intern)","Beamr","Herzliya","1 month","Score: 75"
"https://secrethunter.io/jobs/real-time-developer-temporary-student-position-at-elbit-systems-israel-4062495057","Real time developer-temporary student position","Elbit Systems Israel","Beer Sheva","3 weeks","Score: 75"
"https://secrethunter.io/jobs/educateur-trice-de-jeunes-enfants-at-association-ad%C3%A8le-de-glaubitz-4077760973","Educateur.trice de jeunes enfants","Association Adèle de Glaubitz","Tel Aviv","3 weeks","Score: 75"
"https://secrethunter.io/jobs/16199-junior-qa-tester-at-qualitest-4076866538","16199 - junior QA tester","Qualitest","Petah Tikva","3 weeks","Score: 75"
"https://secrethunter.io/jobs/rf-student-position-at-elbit-systems-israel-4062493680","RF - student position","Elbit Systems Israel","Netanya","3 weeks","Score: 74"
"https://secrethunter.io/jobs/49.C45","Data operations student","Prisma Photonics","Tel Aviv","2 months","Score: 72"
"https://secrethunter.io/jobs/B9.C4D","Software automation & validation student","CEVA","Herzliya","2 months","Score: 72"
"https://secrethunter.io/jobs/Connecteam-5359509004","Customer support student position (part time)","Connecteam","Israel","2 months","Score: 72"
"https://secrethunter.io/jobs/03.B41","Junior instructional designer student","SolarEdge Technologies","Herzliya","3 months","Score: 71"
