"tablescraper-selected-row href","css-6ubqba","css-1oq4rdn","css-1hqv54u","css-1hqv54u 2","css-1hqv54u 3"
"https://secrethunter.io/jobs/quality-assurance-tester-at-quicklizard-tase-qlrd-4087392643","Quality assurance tester","Quicklizard  (TASE:QLRD)","Petah Tikva","15 hours","Score: 58"
"https://secrethunter.io/jobs/quality-assurance-tester-at-moveo-group-4086888204","Quality assurance tester","Moveo Group","Tel Aviv","21 hours","Score: 53"
"https://secrethunter.io/jobs/60.E4A","Embedded QA","Orpak Systems","Yakum","1 week","Score: 53"
"https://secrethunter.io/jobs/qa-ra-specialist-at-spatz-medical-4089361418","Qa/ra specialist","Spatz Medical","Raanana","16 hours","Score: 53"
"https://secrethunter.io/jobs/qa-engineer-at-vishay-precision-group-inc-vpg-4086310352","QA engineer","Vishay Precision Group, Inc. (VPG)","Holon","2 days","Score: 53"
"https://secrethunter.io/jobs/quality-assurance-engineer-at-cambium-applicable-innovation-3951754639","Quality assurance engineer","Cambium Applicable Innovation","Dimona","2 days","Score: 53"
"https://secrethunter.io/jobs/qa-engineer-at-msd-animal-health-technology-labs-4084404966","QA engineer","MSD Animal Health Technology Labs","Netanya","5 days","Score: 52"
"https://secrethunter.io/jobs/qa-referent-at-phibro-animal-health-4083701010","QA referent","Phibro Animal Health","Israel","1 week","Score: 52"
"https://secrethunter.io/jobs/D2.A42","QC operations","Vectorious Medical Technologies","Tel Aviv","1 week","Score: 52"
"https://secrethunter.io/jobs/embedded-qa-engineer-at-questar-auto-technologies-4083321991","Embedded QA engineer","Questar Auto Technologies","Tel Aviv","1 week","Score: 51"
"https://secrethunter.io/jobs/qa-automation-java-at-intango-4084406557","QA automation (java)","Intango","Tel Aviv","5 days","Score: 51"
"https://secrethunter.io/jobs/mgr-quality-assurance-nlr-at-vishay-intertechnology-inc-4087274552","Mgr quality assurance, nlr","Vishay Intertechnology, Inc.","Dimona","5 days","Score: 50"
"https://secrethunter.io/jobs/12869-junior-qa-tester-hq-at-qualitest-4083359027","12869 - junior QA tester (hq)","Qualitest","Petah Tikva","1 week","Score: 50"
"https://secrethunter.io/jobs/quality-assurance-specialist-at-yit-yedioth-tech-4087081140","Quality assurance specialist","YIT - Yedioth Tech","Tel Aviv","5 days","Score: 50"
"https://secrethunter.io/jobs/qa-automation-low-level-python-at-intel-corporation-4084418797","QA automation - low level (python)","Intel Corporation","Petah Tikva","5 days","Score: 50"
"https://secrethunter.io/jobs/7F.D46","Data QA engineer","Clinch","Caesarea","2 weeks","Score: 49"
"https://secrethunter.io/jobs/qa-engineer-at-bolt-4079419429","QA engineer","Bolt","Petah Tikva","2 weeks","Score: 48"
"https://secrethunter.io/jobs/C1.D45","QA manager","Percepto","Modi'in","1 month","Score: 47"
"https://secrethunter.io/jobs/0F.D4B","QA automation engineer","OTORIO","Tel Aviv","2 weeks","Score: 47"
"https://secrethunter.io/jobs/qa-automation-engineer-821885-at-labos-4078484322","QA automation engineer (821885)","LabOS","Petah Tikva","2 weeks","Score: 47"
"https://secrethunter.io/jobs/qa-automation-engineer-821885-at-labos-4082441928","QA automation engineer (821885)","LabOS","Petah Tikva","2 weeks","Score: 47"
"https://secrethunter.io/jobs/manual-qa-tester-temporary-at-globalbit-4079982855","Manual QA tester - temporary","Globalbit","Tel Aviv","2 weeks","Score: 47"
"https://secrethunter.io/jobs/qa-group-leader-at-weka-4063563140","QA group leader","WEKA","Tel Aviv","2 weeks","Score: 47"
"https://secrethunter.io/jobs/5A.D42","QA engineer","Viber","Ramat Gan","2 weeks","Score: 46"
"https://secrethunter.io/jobs/qa-manual-automation-engineer-at-varonis-4063823234","QA manual & automation engineer","Varonis","Herzliya","2 weeks","Score: 46"
"https://secrethunter.io/jobs/Tipalti-5375530004","QA lead (automation and manual)","Tipalti","Tel Aviv","3 weeks","Score: 45"
"https://secrethunter.io/jobs/86.148","Manual QA student","BrandShield","Herzliya","3 weeks","Score: 44"
"https://secrethunter.io/jobs/quality-assurance-engineer-at-qbiq-4072588155","Quality assurance engineer","Qbiq","Tel Aviv","3 weeks","Score: 43"
"https://secrethunter.io/jobs/16041-qa-analyst-at-qualitest-4069321851","16041 - QA analyst","Qualitest","Tel Aviv","1 month","Score: 43"
"https://secrethunter.io/jobs/32.D4E","Senior QA engineer","AccessiBe","Tel Aviv","1 month","Score: 43"
"https://secrethunter.io/jobs/8F.C41","Solutions QA engineer","ThetaRay","Hod Hasharon","1 month","Score: 43"
"https://secrethunter.io/jobs/Tipalti-5369428004","QA automation engineer","Tipalti","Tel Aviv","3 weeks","Score: 43"
"https://secrethunter.io/jobs/16199-junior-qa-tester-at-qualitest-4076866538","16199 - junior QA tester","Qualitest","Petah Tikva","3 weeks","Score: 42"
"https://secrethunter.io/jobs/15380-qa-tester-at-qualitest-4074813596","15380 - QA tester","Qualitest","Yokeam Illit","3 weeks","Score: 42"
"https://secrethunter.io/jobs/qa-manual-at-aristocrat-interactive-4032869969","QA manual","Aristocrat Interactive","Tel Aviv","2 months","Score: 40"
"https://secrethunter.io/jobs/9511-qa-engineer-crm-sap-web-at-qualitest-3977672652","9511 - QA engineer (crm/ sap/ web)","Qualitest","Petah Tikva","5 months","Score: 38"
"https://secrethunter.io/jobs/qa-engineer-at-qualitest-4026577120","QA engineer","Qualitest","Haifa","3 months","Score: 38"
"https://secrethunter.io/jobs/qa-engineer-at-audiocodes-4004832792","QA engineer","AudioCodes","Oryehuda","4 months","Score: 38"
"https://secrethunter.io/jobs/15136-csv-and-qa-professional-at-qualitest-4008959483","15136 - csv and QA professional","Qualitest","Petah Tikva","4 months","Score: 38"
"https://secrethunter.io/jobs/qa-test-analyst-i-at-qualitest-4033416267","QA test analyst i","Qualitest","Haifa","3 months","Score: 38"
"https://secrethunter.io/jobs/14922-qa-engineer-at-qualitest-4037797658","14922 - QA engineer","Qualitest","Petah Tikva","3 months","Score: 38"
"https://secrethunter.io/jobs/qc-operator-at-vishay-intertechnology-inc-4015745624","QC operator","Vishay Intertechnology, Inc.","Dimona","3 months","Score: 38"
"https://secrethunter.io/jobs/57.946","QA engineer","WSC Sports Technologies","Ramat-Gan","3 months","Score: 37"
"https://secrethunter.io/jobs/4C.B4B","QA engineer (jarvis)","ONE ZERO Digital Bank","Tel Aviv","2 months","Score: 37"
"https://secrethunter.io/jobs/qa-engineer-specialist-at-alma-lasers-3993833063","QA engineer/specialist","Alma Lasers","Caesarea","4 months","Score: 37"
"https://secrethunter.io/jobs/13124-qa-engineer-at-qualitest-3977674168","13124 - QA engineer","Qualitest","Petah Tikva","5 months","Score: 37"
"https://secrethunter.io/jobs/qa-manual-at-allstarsit-3925467435","QA manual","ALLSTARSIT","Haifa","7 months","Score: 37"
"https://secrethunter.io/jobs/Tipalti-5256185004","QA lead","Tipalti","Tel Aviv","4 months","Score: 37"
"https://secrethunter.io/jobs/qa-manager-at-alma-lasers-3993832134","QA manager","Alma Lasers","Caesarea","4 months","Score: 37"
"https://secrethunter.io/jobs/qa-engineer-student-position-at-audiocodes-4011363145","QA engineer - student position","AudioCodes","Oryehuda","4 months","Score: 36"
"https://secrethunter.io/jobs/D7.847","QA operations","Superplay","Tel Aviv","4 months","Score: 36"
"https://secrethunter.io/jobs/Tipalti-5354173004","QA engineer","Tipalti","Tel Aviv","2 months","Score: 36"
"https://secrethunter.io/jobs/qa-manual-automation-engineer-at-cropx-3982452344","QA manual & automation engineer","CropX","Netanya","5 months","Score: 36"
"https://secrethunter.io/jobs/13839-junior-qa-at-qualitest-3977675069","13839 - junior QA","Qualitest","Petah Tikva","5 months","Score: 36"
"https://secrethunter.io/jobs/qa-at-allstarsit-4021745151","QA","ALLSTARSIT","Tel Aviv","4 months","Score: 36"
